Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-01-03,182.9105224609375,184.52867738484042,182.0964765011294,182.88074176951616,58414500,188.4499542236328,187.76828002929688,186.74643249511718,3.332651952235316,-8.73602294921875,-96.36253224964561,-92.69806371674227,3.789207451491737,1
2024-01-04,180.58753967285156,181.7589539428833,179.5650288616003,180.82578520690032,71983600,186.21830139160156,185.37469991048178,184.12562764485676,2.4267144634062467,-11.15826416015625,-88.75989174685776,-92.52539928508853,3.6689363275449143,1
2024-01-05,179.8628387451172,181.43135417752765,178.86018676112266,180.66696287937032,62303300,183.75633239746094,183.53741285536026,182.00714009602865,2.1941238190090924,-12.309844970703125,-80.93763826555097,-92.90235994471114,3.3911203019450484,1
2024-01-08,184.2110137939453,184.2507314848132,180.18053159891653,180.76623878240164,59144500,182.37246704101562,183.7619465015553,182.15870056152343,43.097717524672746,-6.9193267822265625,26.02347022967293,-34.824549498196845,3.630663463046452,-1
2024-01-09,183.79405212402344,183.80397397190293,181.40156892129536,182.58292017691045,42841800,182.273193359375,183.77264837571136,182.63256225585937,41.04037336612643,-0.496368408203125,54.52442737969446,-12.959803756986176,3.440957894578424,-1
2024-01-10,184.83644104003906,185.04490590225782,182.5829392119836,183.0098210810569,46792900,182.65837707519532,184.12724593048728,183.48697814941406,48.69395746646925,1.9259185791015625,93.02844414376072,-3.3706439607296246,3.2216070344528687,1
2024-01-11,184.24078369140625,185.69017636593313,182.28510409693843,185.1838742981323,49128400,183.38902587890624,184.1650918507936,184.0144470214844,44.562037453697386,3.6532440185546875,74.34700540140021,-21.221008499135163,3.2617481794619994,1
2024-01-12,184.56837463378906,185.382420570264,183.84368591687618,184.7073562390581,40444700,184.33013305664062,184.29951944512544,184.40756327311198,47.61770931034744,4.705535888671875,89.18634862671165,-20.36069074470487,2.891717134458444,1
2024-01-16,182.29502868652344,182.92043833380222,179.61464536328148,180.83571426310817,65603000,183.94693603515626,183.6313558589248,183.72919514973958,32.21490096884121,-1.915985107421875,-132.32537909772452,-55.88232004622953,3.328110543018077,1
2024-01-17,181.3519287109375,181.6001112377356,178.98924135636386,179.95219077216925,47317400,183.45851135253906,182.8715468095957,182.86419270833332,27.587419321165026,-2.4421234130859375,-104.58643435698818,-64.7409301657216,3.3234405102323774,1
2024-01-18,187.25868225097656,187.76496914507203,184.47903496158258,184.73713933247967,78005800,183.94295959472657,184.33392529005602,184.13091634114582,65.91670009572047,2.4222412109375,106.60290089095143,-5.7691727260149595,3.9638944652727113,1
2024-01-19,190.16738891601562,190.55455307634924,187.44731794521132,187.95360487861367,68741000,185.12828063964844,186.2784131653759,186.20572611490886,74.2926641498724,5.926605224609375,117.92603288498695,-3.3476327288660457,3.8264201801730295,-1
2024-01-22,192.48045349121094,193.90998737033232,190.86229845472488,190.9020161446229,60133900,186.7106964111328,188.34575994065426,188.656450398763,79.33961825067196,7.912078857421875,105.40174209375192,-9.580847216238942,3.809269639150982,-1
2024-01-23,193.7610626220703,194.3269260762536,192.42088601370864,193.60223731108647,42355600,189.0039031982422,190.15086083445962,191.0065724690755,81.81090041148332,11.466033935546875,84.9201415938119,-3.689366840677688,3.421640823877689,-1
2024-01-24,193.08599853515625,194.9523359132993,192.92715808853583,193.99930838143553,53631300,191.35071716308593,191.12924006802518,192.36727091471354,75.83386783403921,11.73406982421875,67.81919978979901,-17.819953677900635,3.138264338506286,-1
2024-01-25,192.75840759277344,194.84314692565724,191.70611607825748,193.80077725921535,54822100,192.4506622314453,191.67229590960795,192.8365010579427,72.61574837093679,5.499725341796875,37.973366374399774,-29.23281902661182,3.1380147628738433,-1
2024-01-26,191.02113342285156,193.34411833566054,190.54462719280716,192.85769025735726,44594000,192.6214111328125,191.45524174735584,192.35999145507813,56.673044235928415,0.8537445068359375,-122.26231801021122,-89.18925318660341,3.069679759712454,-1
2024-01-29,190.33615112304688,190.80273551445788,188.20178731814485,190.6141143586287,47145600,192.1925506591797,191.08221153925285,191.59823811848958,51.13943952098147,-2.1443023681640625,-130.87250933706548,-68.38236515423245,3.019240855286786,-1
2024-01-30,186.67295837402344,190.4056331853674,186.10711010289756,189.5518847070131,55859400,190.77492980957032,189.61246048417638,189.7583740234375,30.942729041938666,-7.088104248046875,-118.5672802307177,-93.60278320469273,3.2766165788363906,-1
2024-01-31,183.0594024658203,185.73978553322445,183.00977808504848,185.68020901015495,55467800,188.7696105957031,187.42810781139104,187.18653157552083,20.809131515923024,-10.026596069335938,-129.74666014723599,-99.58064029406796,3.3542961522781285,1
2024-02-01,185.50155639648438,185.59089847447947,182.48366340616798,182.6524257138898,64885400,187.3182403564453,186.78592400642216,186.09718017578126,37.97048979003251,-7.2568511962890625,-75.87452174159918,-72.21209415343152,3.304696553498529,-1
2024-02-02,184.4989013671875,185.96813772334343,177.9468764270477,178.55244241438749,102518000,186.0137939453125,186.0235831266773,185.15740051269532,34.170232496494236,-6.5222320556640625,-81.97237083122099,-49.03471720099796,4.250869133211536,1
2024-02-05,186.31558227539062,187.87417583998953,184.48896248395178,186.78216664518396,69668800,185.20968017578124,186.12091617624841,185.25799662272135,46.33480022927589,-4.02056884765625,50.9529534766557,-32.82872432071143,4.077318357749839,-1
2024-02-06,187.923828125,187.93374997367698,185.4122219544124,185.50156403608693,43490800,185.45985412597656,186.72188682583229,186.16271260579427,55.44546514463781,1.2508697509765625,103.99681299847032,-0.09934889663573143,3.7655572563807946,-1
2024-02-07,188.03302001953125,189.66109684812312,187.23883287556598,189.2540738540102,53439000,186.45457763671874,187.15893122373194,187.0204345703125,56.07829145085627,4.9736175537109375,98.73951600465631,-13.898294295903357,3.4964822261742343,-1
2024-02-08,186.95094299316406,188.16205980044833,185.98799356738817,188.0131563419714,40962000,186.74445495605468,187.08960181354266,187.1858896891276,47.68795957970719,1.4493865966796875,34.7168141492355,-23.135588690845676,3.23167120738842,-1
2024-02-09,187.71632385253906,188.84947973129314,186.87142040616737,187.5175123353768,45155200,187.387939453125,187.2985091598748,187.50984598795574,53.79962163288188,3.2174224853515625,56.25037866979522,-37.60097589606305,2.980700281369478,-1
2024-02-12,186.02650451660156,187.537383976275,185.66866504371018,187.28888476363343,41781900,187.3301239013672,186.87450761211707,187.05603434244793,40.682512554736185,-0.2890777587890625,-105.08635162236295,-85.54246529832056,2.793944023309718,-1
2024-02-13,183.92916870117188,185.09215835173688,182.4083547485107,184.6547973151463,56529500,186.53119201660155,185.89272797513536,185.9223826090495,29.517183349188887,-3.994659423828125,-152.57308727303518,-79.03118666328363,2.958889719021033,-1
2024-02-14,183.0445098876953,184.41623036442274,181.34478380471282,184.20749952407863,54630500,185.5334899902344,184.94332194598869,184.7601552327474,25.7858573845962,-4.9885101318359375,-99.69278336218036,-77.35116652811527,2.9814125075693805,-1
2024-02-15,182.7562713623047,183.3824942652778,180.26134459364147,182.44813474883824,65434500,184.6945556640625,184.2143050847607,183.83441569010418,24.523293658656307,-4.194671630859375,-83.18881268985803,-70.9491440379753,3.0093712818089964,-1
2024-02-16,181.215576171875,183.7403368438813,180.57941874936438,182.31891336045317,49701400,183.3944061279297,183.21472878046546,182.674755859375,18.47816776593731,-6.5007476806640625,-78.29801921154014,-86.88528843712565,3.0396904834940592,-1
2024-02-20,180.47006225585938,181.33483464555084,178.91942962585208,180.69867728023533,53665600,182.28311767578126,182.29983993893012,181.6999745686849,16.080566611272832,-5.5564422607421875,-137.87597308787673,-74.87930056759411,2.914800967562939,-1
2024-02-21,181.22552490234375,181.79209525720324,179.57548638259638,180.8478012209779,41529700,181.7423889160156,181.94173492673468,181.34744364420573,27.926303546376918,-2.703643798828125,-58.63725321900596,-58.04659135067487,2.775133541182154,-1
2024-02-22,183.26319885253906,183.84966853541172,181.36467634977905,182.37854224114136,52292200,181.78612670898437,182.3822229020028,181.85438028971353,51.16683751820508,0.21868896484375,100.71850081074224,-11.895360318858106,2.7449305412251803,-1
2024-02-23,181.42431640625,183.92917764586625,181.13604881484736,183.89935895257477,45119700,181.51973571777344,182.0629207367519,181.73377685546876,37.519322519809485,-1.3319549560546875,46.307878955520536,-49.999745089158424,2.754571480684586,-1
2024-02-26,180.07247924804688,181.66286516303873,179.56553112991756,181.1459977034405,40867400,181.2911163330078,181.3994402405169,181.25135803222656,30.133552707023263,-1.143096923828125,-61.12971914167543,-76.98387987602742,2.623110011790718,-1
2024-02-27,181.5336456298828,182.81589486499632,178.48206808634893,180.01283169575817,54318900,181.5038330078125,181.44417537030554,181.3322011311849,44.81174965808404,1.0635833740234375,-39.92907026947596,-43.97803990921948,2.9652824739758845,-1
2024-02-28,180.33091735839844,182.02070906977036,179.0486680197237,181.4143703487687,48953900,181.32491149902344,181.07308936633652,180.94122924804688,36.8468203009883,-0.8946075439453125,-66.48989020796205,-66.05815888503373,2.966634281189273,-1
2024-02-29,179.66494750976562,181.47402922690614,178.45227002550848,180.1818301671186,136682600,180.60526123046876,180.60370874747957,180.38790791829427,32.81038153637327,-3.5982513427734375,-97.36341649078801,-77.85835423351676,2.977659865520859,-1
2024-03-01,178.58148193359375,179.44625436004063,176.31517027538303,178.47214167082092,73488000,180.0366943359375,179.92963314285097,179.71331481933595,26.832694188266338,-2.84283447265625,-158.06255296646114,-65.13755309936091,3.0520865810338687,-1
